# Perfilamento 2/6 — Colunas, tipos declarados e nulabilidade
# Gerado por: uv run jupyter nbconvert --to notebook --execute --inplace etl/perfilamento.ipynb
# Fonte: postgresql://pi:***@localhost:5432/northwind · schema public

------------------------------------------------------------------------------
$ SELECT ... FROM information_schema.columns WHERE table_schema='public'
------------------------------------------------------------------------------
| tabela                 |   pos | coluna                | tipo                   | aceita_nulo   | padrao   |
| suppliers              |    10 | phone                 | character varying(24)  | YES           |          |
| suppliers              |    11 | fax                   | character varying(24)  | YES           |          |
| suppliers              |    12 | homepage              | text                   | YES           |          |
| territories            |     1 | territory_id          | character varying(20)  | NO            |          |
| territories            |     2 | territory_description | character varying(60)  | NO            |          |
| territories            |     3 | region_id             | smallint               | NO            |          |
| us_states              |     1 | state_id              | smallint               | NO            |          |
| us_states              |     2 | state_name            | character varying(100) | YES           |          |
| us_states              |     3 | state_abbr            | character varying(2)   | YES           |          |
| us_states              |     4 | state_region          | character varying(50)  | YES           |          |

